epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
158,1755.42,2.01584,1.66868,2.39294,0.2058,0.15385,0.2149,0.06865,2.62649,2.99668,3.40935,0.0004457,0.0004457,0.0004457
159,1771.68,2.2608,1.90331,2.71058,0.2058,0.15385,0.2149,0.06865,2.62649,2.99668,3.40935,0.0004358,0.0004358,0.0004358
160,1790.35,2.02022,1.81278,2.52885,0.28741,0.28065,0.2411,0.08617,2.53172,2.74051,3.26483,0.0004259,0.0004259,0.0004259
161,1807.4,2.21835,1.77131,2.65161,0.28741,0.28065,0.2411,0.08617,2.53172,2.74051,3.26483,0.000416,0.000416,0.000416
162,1816.64,2.01577,1.62408,2.35259,0.28741,0.28065,0.2411,0.08617,2.53172,2.74051,3.26483,0.0004061,0.0004061,0.0004061
163,1841.56,2.10555,1.62525,2.37096,0.28741,0.28065,0.2411,0.08617,2.53172,2.74051,3.26483,0.0003962,0.0003962,0.0003962
164,1853.15,1.9698,1.7805,2.54226,0.29081,0.38462,0.30149,0.1022,2.40927,2.51545,3.11464,0.0003863,0.0003863,0.0003863
165,1878.2,2.08038,1.79371,2.47501,0.29081,0.38462,0.30149,0.1022,2.40927,2.51545,3.11464,0.0003764,0.0003764,0.0003764
166,1891.08,2.01606,1.80121,2.35783,0.29081,0.38462,0.30149,0.1022,2.40927,2.51545,3.11464,0.0003665,0.0003665,0.0003665
167,1914.52,2.0874,1.84607,2.40675,0.29081,0.38462,0.30149,0.1022,2.40927,2.51545,3.11464,0.0003566,0.0003566,0.0003566
168,1935.75,2.05679,1.8977,2.63269,0.23844,0.53846,0.34116,0.12343,2.34465,2.37024,3.02781,0.0003467,0.0003467,0.0003467
169,1951.93,2.1547,1.82981,2.60472,0.23844,0.53846,0.34116,0.12343,2.34465,2.37024,3.02781,0.0003368,0.0003368,0.0003368
170,1960.23,1.97011,1.63877,2.4417,0.23844,0.53846,0.34116,0.12343,2.34465,2.37024,3.02781,0.0003269,0.0003269,0.0003269
171,1976.27,2.02472,1.72057,2.35095,0.23844,0.53846,0.34116,0.12343,2.34465,2.37024,3.02781,0.000317,0.000317,0.000317
172,2001.28,1.94448,1.61178,2.3454,0.23766,0.53846,0.312,0.1197,2.2811,2.29233,2.9369,0.0003071,0.0003071,0.0003071
173,2016.07,1.84887,1.5726,2.32708,0.23766,0.53846,0.312,0.1197,2.2811,2.29233,2.9369,0.0002972,0.0002972,0.0002972
174,2021.67,1.86963,1.63403,2.38164,0.23766,0.53846,0.312,0.1197,2.2811,2.29233,2.9369,0.0002873,0.0002873,0.0002873
175,2034.62,2.038,1.52933,2.31074,0.23766,0.53846,0.312,0.1197,2.2811,2.29233,2.9369,0.0002774,0.0002774,0.0002774
176,2046.44,2.12763,1.74425,2.51983,0.29196,0.61538,0.31534,0.12628,2.2147,2.25613,2.86658,0.0002675,0.0002675,0.0002675
177,2052.07,2.08009,1.71029,2.48119,0.29196,0.61538,0.31534,0.12628,2.2147,2.25613,2.86658,0.0002576,0.0002576,0.0002576
178,2061.94,1.95345,1.90394,2.44605,0.29196,0.61538,0.31534,0.12628,2.2147,2.25613,2.86658,0.0002477,0.0002477,0.0002477
179,2069.09,2.0426,1.55495,2.38514,0.29196,0.61538,0.31534,0.12628,2.2147,2.25613,2.86658,0.0002378,0.0002378,0.0002378
180,2079.93,1.99805,1.85744,2.43831,0.27878,0.61538,0.34159,0.14094,2.14653,2.19634,2.80986,0.0002279,0.0002279,0.0002279
